{'Episode': 1, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -0.75, 'Termination_Reason': 'wall_collision', 'Epsilon': 1.0, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 2, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -1.5, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.998, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 3, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -2.25, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.996004, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 4, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -3.0, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.994011992, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 5, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -3.75, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.992023968016, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 6, 'Steps': 3, 'Return': -0.8038749999999999, 'Episode_Reward': -0.8200000000000001, 'Cumulative_Reward': -4.57, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.990039920079968, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 7, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -5.32, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9880598402398081, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 8, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -6.0200000000000005, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9860837205593285, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 9, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -6.7700000000000005, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9841115531182099, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 10, 'Steps': 7, 'Return': -0.74347916753875, 'Episode_Reward': -0.79, 'Cumulative_Reward': -7.5600000000000005, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9821433300119734, 'Loss': 0.07019177824258804, 'Goal_Reached': 0}
{'Episode': 11, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -8.31, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9801790433519495, 'Loss': 0.04873247817158699, 'Goal_Reached': 0}
