Episode 1, Step 1, Action: 3, Reward: -1.00, Total Reward: -2.00
Episode 1, Step 2, Action: 2, Reward: -2.30, Total Reward: -5.30
Episode 1, Step 3, Action: 2, Reward: -2.20, Total Reward: -8.50
Episode 1, Step 4, Action: 0, Reward: -3.30, Total Reward: -12.80
Episode 1, Step 5, Action: 2, Reward: -2.10, Total Reward: -17.10
Episode 1, Step 6, Action: 0, Reward: -3.20, Total Reward: -21.30
Episode 1, Step 7, Action: 1, Reward: -1.00, Total Reward: -23.30
Episode 1, Step 8, Action: 3, Reward: -1.00, Total Reward: -26.40
Episode 1, Step 9, Action: 1, Reward: -2.00, Total Reward: -29.40
Episode 1, Step 10, Action: 2, Reward: -1.00, Total Reward: -32.30
Episode 1, Step 11, Action: 0, Reward: -3.00, Total Reward: -36.30
Episode 1, Step 12, Action: 3, Reward: -1.00, Total Reward: -38.30
Episode 1, Step 13, Action: 2, Reward: -1.90, Total Reward: -41.20
Episode 1, Step 14, Action: 2, Reward: -1.90, Total Reward: -46.10
Episode 1, Step 15, Action: 3, Reward: -3.10, Total Reward: -52.20
Episode 1, Step 16, Action: 3, Reward: -3.10, Total Reward: -57.30
Episode 1, Step 17, Action: 0, Reward: -3.30, Total Reward: -63.80
Episode 1, Step 18, Action: 1, Reward: -1.00, Total Reward: -68.20
Episode 1, Step 19, Action: 3, Reward: -1.00, Total Reward: -71.50
Episode 1, Step 20, Action: 3, Reward: -1.00, Total Reward: -74.70
Episode 1, Step 21, Action: 1, Reward: -1.00, Total Reward: -76.70
Episode 1, Step 22, Action: 0, Reward: -3.30, Total Reward: -81.00
Episode 1, Step 23, Action: 3, Reward: -1.00, Total Reward: -83.00
Episode 1, Step 24, Action: 3, Reward: -1.00, Total Reward: -87.40
Episode 1, Step 25, Action: 3, Reward: -1.00, Total Reward: -89.40
Episode 1, Step 26, Action: 1, Reward: -1.00, Total Reward: -91.40
Episode 1, Step 27, Action: 1, Reward: -1.00, Total Reward: -93.40
Episode 1, Step 28, Action: 3, Reward: -1.00, Total Reward: -95.40
Episode 1, Step 29, Action: 3, Reward: -1.00, Total Reward: -97.40
Episode 1, Step 30, Action: 0, Reward: -1.00, Total Reward: -99.40
Episode 1, Step 31, Action: 2, Reward: -2.20, Total Reward: -103.90
Episode 1, Step 32, Action: 2, Reward: -2.10, Total Reward: -107.00
Episode 1, Step 33, Action: 3, Reward: -3.10, Total Reward: -112.10
Episode 1, Step 34, Action: 0, Reward: -3.20, Total Reward: -116.30
Episode 1, Step 35, Action: 3, Reward: -1.00, Total Reward: -118.30
Episode 1, Step 36, Action: 0, Reward: -3.30, Total Reward: -122.60
Episode 1, Step 37, Action: 0, Reward: -3.40, Total Reward: -127.00
Episode 1, Step 38, Action: 3, Reward: -1.00, Total Reward: -129.00
Episode 1, Step 39, Action: 0, Reward: -1.00, Total Reward: -131.00
Episode 1, Step 40, Action: 0, Reward: -3.40, Total Reward: -136.70
Episode 1, Step 41, Action: 0, Reward: -1.00, Total Reward: -138.70
Episode 1, Step 42, Action: 1, Reward: -1.00, Total Reward: -140.70
Episode 1, Step 43, Action: 2, Reward: -2.20, Total Reward: -145.20
Episode 1, Step 44, Action: 0, Reward: -3.30, Total Reward: -149.50
Episode 1, Step 45, Action: 3, Reward: -1.00, Total Reward: -151.50
Episode 1, Step 46, Action: 3, Reward: -1.00, Total Reward: -153.50
Episode 1, Step 47, Action: 0, Reward: -3.40, Total Reward: -157.90
Episode 1, Step 48, Action: 3, Reward: -1.00, Total Reward: -159.90
Episode 1, Step 49, Action: 2, Reward: -2.30, Total Reward: -163.20
Episode 1, Step 50, Action: 0, Reward: -3.30, Total Reward: -168.70
Episode 1, Step 51, Action: 2, Reward: -2.20, Total Reward: -171.90
Episode 1, Step 52, Action: 3, Reward: -1.00, Total Reward: -175.00
Episode 1, Step 53, Action: 1, Reward: -1.00, Total Reward: -178.00
Episode 1, Step 54, Action: 3, Reward: -1.00, Total Reward: -180.90
Episode 1, Step 55, Action: 2, Reward: -1.80, Total Reward: -183.70
Episode 1, Step 56, Action: 0, Reward: -2.90, Total Reward: -187.60
Episode 1, Step 57, Action: 2, Reward: -1.80, Total Reward: -190.40
Episode 1, Step 58, Action: 0, Reward: -3.00, Total Reward: -196.30
Episode 1, Step 59, Action: 3, Reward: -1.00, Total Reward: -198.30
Episode 1, Step 60, Action: 2, Reward: -1.90, Total Reward: -201.20
Episode 1, Step 61, Action: 2, Reward: -1.70, Total Reward: -204.70
Episode 1, Step 62, Action: 3, Reward: -1.00, Total Reward: -206.70
Episode 1, Step 63, Action: 1, Reward: -1.00, Total Reward: -209.30
Episode 1, Step 64, Action: 3, Reward: -1.00, Total Reward: -211.30
Episode 1, Step 65, Action: 2, Reward: -1.50, Total Reward: -213.80
Episode 1, Step 66, Action: 3, Reward: -1.00, Total Reward: -216.20
Episode 1, Step 67, Action: 0, Reward: -2.50, Total Reward: -219.70
Episode 1, Step 68, Action: 3, Reward: -1.00, Total Reward: -221.70
Episode 1, Step 69, Action: 3, Reward: -1.00, Total Reward: -225.30
Episode 1, Step 70, Action: 1, Reward: -1.60, Total Reward: -229.60
Episode 1, Step 71, Action: 3, Reward: -2.60, Total Reward: -233.70
Episode 1, Step 72, Action: 1, Reward: -1.50, Total Reward: -236.20
Episode 1, Step 73, Action: 3, Reward: -2.70, Total Reward: -241.50
Episode 1, Step 74, Action: 3, Reward: -1.00, Total Reward: -244.10
Episode 1, Step 75, Action: 3, Reward: -1.00, Total Reward: -246.10
Episode 1, Step 76, Action: 2, Reward: -1.50, Total Reward: -248.60
Episode 1, Step 77, Action: 3, Reward: -1.00, Total Reward: -250.60
Episode 1, Step 78, Action: 3, Reward: -1.00, Total Reward: -253.00
Episode 1, Step 79, Action: 3, Reward: -1.00, Total Reward: -256.50
Episode 1, Step 80, Action: 3, Reward: -1.00, Total Reward: -258.50
Episode 1, Step 81, Action: 3, Reward: -1.00, Total Reward: -260.50
Episode 1, Step 82, Action: 1, Reward: -1.00, Total Reward: -262.50
