Episode 1/5000 - Steps: 1, Return: -0.75, Epsilon: 1.000000, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 2/5000 - Steps: 1, Return: -0.75, Epsilon: 0.999700, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 3/5000 - Steps: 1, Return: -0.75, Epsilon: 0.999400, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 4/5000 - Steps: 1, Return: -0.75, Epsilon: 0.999100, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 5/5000 - Steps: 2, Return: -0.69, Epsilon: 0.998801, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 6/5000 - Steps: 3, Return: -0.64, Epsilon: 0.998501, Loss: 0.000, Reward: -0.65, Termination: wall_collision
Episode 7/5000 - Steps: 1, Return: -0.75, Epsilon: 0.998201, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 8/5000 - Steps: 1, Return: -0.75, Epsilon: 0.997902, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 9/5000 - Steps: 1, Return: -0.75, Epsilon: 0.997603, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 10/5000 - Steps: 2, Return: -0.69, Epsilon: 0.997303, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 11/5000 - Steps: 1, Return: -0.75, Epsilon: 0.997004, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 12/5000 - Steps: 1, Return: -0.75, Epsilon: 0.996705, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 13/5000 - Steps: 4, Return: -0.75, Epsilon: 0.996406, Loss: 0.014, Reward: -0.77, Termination: wall_collision
Episode 14/5000 - Steps: 1, Return: -0.75, Epsilon: 0.996107, Loss: 0.020, Reward: -0.75, Termination: wall_collision
Episode 15/5000 - Steps: 1, Return: -0.75, Epsilon: 0.995808, Loss: 0.006, Reward: -0.75, Termination: wall_collision
Episode 16/5000 - Steps: 1, Return: -0.75, Epsilon: 0.995509, Loss: 0.002, Reward: -0.75, Termination: wall_collision
Episode 17/5000 - Steps: 1, Return: -0.75, Epsilon: 0.995211, Loss: 0.006, Reward: -0.75, Termination: wall_collision
Episode 18/5000 - Steps: 1, Return: -0.75, Epsilon: 0.994912, Loss: 0.006, Reward: -0.75, Termination: wall_collision
Episode 19/5000 - Steps: 1, Return: -0.75, Epsilon: 0.994614, Loss: 0.006, Reward: -0.75, Termination: wall_collision
Episode 20/5000 - Steps: 1, Return: -0.75, Epsilon: 0.994315, Loss: 0.005, Reward: -0.75, Termination: wall_collision
Episode 21/5000 - Steps: 2, Return: -0.69, Epsilon: 0.994017, Loss: 0.004, Reward: -0.70, Termination: wall_collision
Episode 22/5000 - Steps: 1, Return: -0.75, Epsilon: 0.993719, Loss: 0.006, Reward: -0.75, Termination: wall_collision
Episode 23/5000 - Steps: 1, Return: -0.75, Epsilon: 0.993421, Loss: 0.006, Reward: -0.75, Termination: wall_collision
Episode 24/5000 - Steps: 1, Return: -0.75, Epsilon: 0.993123, Loss: 0.012, Reward: -0.75, Termination: wall_collision
Episode 25/5000 - Steps: 1, Return: -0.75, Epsilon: 0.992825, Loss: 0.012, Reward: -0.75, Termination: wall_collision
Episode 26/5000 - Steps: 1, Return: -0.75, Epsilon: 0.992527, Loss: 0.005, Reward: -0.75, Termination: wall_collision
Episode 27/5000 - Steps: 1, Return: -0.75, Epsilon: 0.992229, Loss: 0.004, Reward: -0.75, Termination: wall_collision
Episode 28/5000 - Steps: 1, Return: -0.75, Epsilon: 0.991932, Loss: 0.003, Reward: -0.75, Termination: wall_collision
Episode 29/5000 - Steps: 1, Return: -0.75, Epsilon: 0.991634, Loss: 0.004, Reward: -0.75, Termination: wall_collision
Episode 30/5000 - Steps: 1, Return: -0.75, Epsilon: 0.991336, Loss: 0.016, Reward: -0.75, Termination: wall_collision
Episode 31/5000 - Steps: 1, Return: -0.75, Epsilon: 0.991039, Loss: 0.017, Reward: -0.75, Termination: wall_collision
Episode 32/5000 - Steps: 1, Return: -0.75, Epsilon: 0.990742, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 33/5000 - Steps: 1, Return: -0.75, Epsilon: 0.990445, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 34/5000 - Steps: 1, Return: -0.75, Epsilon: 0.990147, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 35/5000 - Steps: 1, Return: -0.75, Epsilon: 0.989850, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 36/5000 - Steps: 3, Return: -0.64, Epsilon: 0.989553, Loss: 0.001, Reward: -0.65, Termination: wall_collision
Episode 37/5000 - Steps: 1, Return: -0.75, Epsilon: 0.989257, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 38/5000 - Steps: 1, Return: -0.75, Epsilon: 0.988960, Loss: 0.042, Reward: -0.75, Termination: wall_collision
Episode 39/5000 - Steps: 2, Return: -0.69, Epsilon: 0.988663, Loss: 0.002, Reward: -0.70, Termination: wall_collision
Episode 40/5000 - Steps: 4, Return: -0.75, Epsilon: 0.988366, Loss: 0.047, Reward: -0.77, Termination: wall_collision
Episode 41/5000 - Steps: 1, Return: -0.75, Epsilon: 0.988070, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 42/5000 - Steps: 1, Return: -0.75, Epsilon: 0.987774, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 43/5000 - Steps: 3, Return: -0.80, Epsilon: 0.987477, Loss: 0.039, Reward: -0.82, Termination: wall_collision
Episode 44/5000 - Steps: 1, Return: -0.75, Epsilon: 0.987181, Loss: 0.002, Reward: -0.75, Termination: wall_collision
Episode 45/5000 - Steps: 1, Return: -0.75, Epsilon: 0.986885, Loss: 0.039, Reward: -0.75, Termination: wall_collision
Episode 46/5000 - Steps: 2, Return: -0.69, Epsilon: 0.986589, Loss: 0.045, Reward: -0.70, Termination: wall_collision
Episode 47/5000 - Steps: 1, Return: -0.75, Epsilon: 0.986293, Loss: 0.007, Reward: -0.75, Termination: wall_collision
Episode 48/5000 - Steps: 1, Return: -0.75, Epsilon: 0.985997, Loss: 0.060, Reward: -0.75, Termination: wall_collision
Episode 49/5000 - Steps: 2, Return: -0.69, Epsilon: 0.985701, Loss: 0.054, Reward: -0.70, Termination: wall_collision
Episode 50/5000 - Steps: 1, Return: -0.75, Epsilon: 0.985405, Loss: 0.010, Reward: -0.75, Termination: wall_collision
Episode 51/5000 - Steps: 3, Return: -0.64, Epsilon: 0.985110, Loss: 0.039, Reward: -0.65, Termination: wall_collision
Episode 52/5000 - Steps: 1, Return: -0.75, Epsilon: 0.984814, Loss: 0.032, Reward: -0.75, Termination: wall_collision
Episode 53/5000 - Steps: 1, Return: -0.75, Epsilon: 0.984519, Loss: 0.006, Reward: -0.75, Termination: wall_collision
Episode 54/5000 - Steps: 1, Return: -0.75, Epsilon: 0.984223, Loss: 0.053, Reward: -0.75, Termination: wall_collision
Episode 55/5000 - Steps: 1, Return: -0.75, Epsilon: 0.983928, Loss: 0.063, Reward: -0.75, Termination: wall_collision
Episode 56/5000 - Steps: 1, Return: -0.75, Epsilon: 0.983633, Loss: 0.078, Reward: -0.75, Termination: wall_collision
Episode 57/5000 - Steps: 1, Return: -0.75, Epsilon: 0.983338, Loss: 0.009, Reward: -0.75, Termination: wall_collision
